    -116.53    -55.553    -101.34    -181.69    -436.54    -707.77    -1190.4
     -10719     -13198     -13480     -12320      -9001    -4471.9     2749.9
     42.375     60.647     111.35     173.79     323.66     432.81     742.56
     59.753     61.072     12.386    -96.664    -410.08    -435.51    -1110.3
     -11363     -16064     -24699     -39051     -50340     -60400     -77193
     1.7844     2.2534     2.6459     3.2633     3.9932     4.6229     7.6727
     30.268     34.407     38.948     44.968     58.524     68.178     102.05
  -0.035372  -0.038887   -0.03408  -0.046377  -0.038519  -0.088245  -0.096015
  -0.066832  -0.094571   -0.12404   -0.16686   -0.26822   -0.21002   -0.74507
   0.016456   0.027154   0.029702   0.048298   0.074528    0.11846    0.11214
    -1.3024    -1.3901    -1.4052    -1.5473    -1.4268    -2.6711    -1.3614
  0.0016529   0.001346  0.0012103  0.0010277 -0.0010985  0.0022305  0.0015157
  0.0020293  0.0013238  0.0016381  0.0031632  0.0096613    0.01091   0.022283
     20.289     23.005      24.49     27.341     27.557     27.547     23.164
  -0.025203  -0.030565  -0.037705  -0.050655  -0.056522   -0.05408  -0.074146
     224.91     55.047    -298.32     -514.1    -867.03    -424.23    -2219.1
    -9234.8    -3875.7     4400.9      12482      20652     1100.2      48253
     22.788     20.178     18.692     16.257     14.101     13.954     12.714
     7.8813     7.9693     7.9064     8.5834     8.3501     7.5337     7.6777
     1.8362     1.4575     1.3047     1.0194    0.72996    0.89714    0.57138
   -0.27228    0.89471     2.4541     3.6148     3.8149     3.7813     2.9633
     8.8184     9.4039     9.7012     8.6042     9.2908     8.2945     9.3909
     2.8714     3.5215     7.1624     5.5057     6.4674      5.174     9.7263
     14.468     14.474     14.288     13.778     13.729     14.213     11.123
     32.177     36.555     33.822     32.373     28.353     25.237     21.558
       0.01       0.01       0.01       0.01       0.01       0.01       0.01
          0          0          0          0          0          0          0
     7.0459     7.0787     6.7442     7.3195     7.4237     7.0037     4.4518
          4          4          4          4          4          4          4
         20         20         20         20         20         20         20
